year,industry_code_ANZSIC,industry_name_ANZSIC,rme_size_grp,variable,value,unit
2011,B,Mining,d_10-19,Total expenditure,239,DOLLARS(millions)
2011,B,Mining,d_10-19,Operating profit before tax,45,DOLLARS(millions)
2011,B,Mining,d_10-19,Total assets,375,DOLLARS(millions)
2011,B,Mining,d_10-19,Fixed tangible assets,162,DOLLARS(millions)
2011,B,Mining,e_20-49,Activity unit,21,COUNT
2011,B,Mining,e_20-49,Rolling mean employees,714,COUNT
2011,B,Mining,e_20-49,Salaries and wages paid,59,DOLLARS(millions)
2011,B,Mining,e_20-49,"Sales, government funding, grants and subsidies",759,DOLLARS(millions)
2011,B,Mining,e_20-49,Total income,872,DOLLARS(millions)
2011,B,Mining,e_20-49,Total expenditure,490,DOLLARS(millions)
2011,B,Mining,e_20-49,Operating profit before tax,C,DOLLARS(millions)
2011,B,Mining,e_20-49,Total assets,C,DOLLARS(millions)
2011,B,Mining,e_20-49,Fixed tangible assets,C,DOLLARS(millions)
2011,B,Mining,f_50-99,Activity unit,12,COUNT
2011,B,Mining,f_50-99,Rolling mean employees,663,COUNT
2011,B,Mining,f_50-99,Salaries and wages paid,60,DOLLARS(millions)
2011,B,Mining,f_50-99,"Sales, government funding, grants and subsidies",1188,DOLLARS(millions)
2011,B,Mining,f_50-99,Total income,1346,DOLLARS(millions)
2011,B,Mining,f_50-99,Total expenditure,811,DOLLARS(millions)
2011,B,Mining,f_50-99,Operating profit before tax,C,DOLLARS(millions)
2011,B,Mining,f_50-99,Total assets,2644,DOLLARS(millions)
2011,B,Mining,f_50-99,Fixed tangible assets,C,DOLLARS(millions)
2011,B,Mining,g_100-199,Activity unit,6,COUNT
2011,B,Mining,g_100-199,Rolling mean employees,651,COUNT
2011,B,Mining,g_100-199,Salaries and wages paid,48,DOLLARS(millions)
2011,B,Mining,g_100-199,"Sales, government funding, grants and subsidies",C,DOLLARS(millions)
2011,B,Mining,g_100-199,Total income,272,DOLLARS(millions)
2011,B,Mining,g_100-199,Total expenditure,376,DOLLARS(millions)
2011,B,Mining,g_100-199,Operating profit before tax,C,DOLLARS(millions)
2011,B,Mining,g_100-199,Total assets,C,DOLLARS(millions)
2011,B,Mining,g_100-199,Fixed tangible assets,C,DOLLARS(millions)
2011,B,Mining,h_200+,Activity unit,9,COUNT
2011,B,Mining,h_200+,Rolling mean employees,2850,COUNT
2011,B,Mining,h_200+,Salaries and wages paid,261,DOLLARS(millions)
2011,B,Mining,h_200+,"Sales, government funding, grants and subsidies",1858,DOLLARS(millions)
2011,B,Mining,h_200+,Total income,1933,DOLLARS(millions)
2011,B,Mining,h_200+,Total expenditure,1673,DOLLARS(millions)
2011,B,Mining,h_200+,Operating profit before tax,286,DOLLARS(millions)
2011,B,Mining,h_200+,Total assets,2099,DOLLARS(millions)
2011,B,Mining,h_200+,Fixed tangible assets,1050,DOLLARS(millions)
2011,B,Mining,i_Industry_Total,Activity unit,606,COUNT
2011,B,Mining,i_Industry_Total,Rolling mean employees,5907,COUNT
2011,B,Mining,i_Industry_Total,Salaries and wages paid,621,DOLLARS(millions)
2011,B,Mining,i_Industry_Total,"Sales, government funding, grants and subsidies",6944,DOLLARS(millions)
2011,B,Mining,i_Industry_Total,Total income,7486,DOLLARS(millions)
2011,B,Mining,i_Industry_Total,Total expenditure,5742,DOLLARS(millions)
2011,B,Mining,i_Industry_Total,Operating profit before tax,1895,DOLLARS(millions)
2011,B,Mining,i_Industry_Total,Total assets,26953,DOLLARS(millions)
2011,B,Mining,i_Industry_Total,Fixed tangible assets,8859,DOLLARS(millions)
2011,C,Manufacturing,a_0,Activity unit,8382,COUNT
2011,C,Manufacturing,a_0,Rolling mean employees,0,COUNT
2011,C,Manufacturing,a_0,Salaries and wages paid,154,DOLLARS(millions)
2011,C,Manufacturing,a_0,"Sales, government funding, grants and subsidies",1993,DOLLARS(millions)
2011,C,Manufacturing,a_0,Total income,2004,DOLLARS(millions)
2011,C,Manufacturing,a_0,Total expenditure,1796,DOLLARS(millions)
2011,C,Manufacturing,a_0,Operating profit before tax,204,DOLLARS(millions)
2011,C,Manufacturing,a_0,Total assets,2173,DOLLARS(millions)
2011,C,Manufacturing,a_0,Fixed tangible assets,645,DOLLARS(millions)
2011,C,Manufacturing,b_1-5,Activity unit,6942,COUNT
2011,C,Manufacturing,b_1-5,Rolling mean employees,15327,COUNT
2011,C,Manufacturing,b_1-5,Salaries and wages paid,627,DOLLARS(millions)
2011,C,Manufacturing,b_1-5,"Sales, government funding, grants and subsidies",3669,DOLLARS(millions)
2011,C,Manufacturing,b_1-5,Total income,3683,DOLLARS(millions)
